index,hawkish,dovish,cnt,prob_hawkish,prob_dovish,polarity_score
물가/NNG;급등/NNG;금리/NNG;인상/NNG,16,3,19,0.00022348865795060902,4.190412336573919e-05,5.333333333333333
인플레이션/NNG;일시적/VAX,48,20,68,0.0006704659738518271,0.00027936082243826125,2.4000000000000004
주택담보대출/NNG;금리/NNG;인상/NNG,25,10,35,0.0003492010280478266,0.00013968041121913062,2.5
이자/NNG;부담/NNG;줄/VV,18,26,44,0.00025142474019443513,0.00036316906916973964,0.6923076923076923
금리/NNG;제한/NNG,20,10,30,0.00027936082243826125,0.00013968041121913062,2.0
순자산/NNG;증가/NNG,18,8,26,0.00025142474019443513,0.00011174432897530451,2.25
경제/NNG;바닥/NNG,6,10,16,8.380824673147838e-05,0.00013968041121913062,0.6000000000000001
견조/NNG;성장/NNG,13,4,17,0.00018158453458486982,5.5872164487652255e-05,3.25
국채선물/NNG;채권/NNG;금리/NNG;상승/NNG;약세/NNG,7,15,22,9.777628785339144e-05,0.00020952061682869594,0.4666666666666667
기업/NNG;실적/NNG;긍정적/VAX,7,14,21,9.777628785339144e-05,0.00019555257570678288,0.5
금리/NNG;인상/NNG;압박/NNG,25,11,36,0.0003492010280478266,0.00015364845234104368,2.272727272727273
선진국/NNG;경제/NNG;회복/NNG,14,5,19,0.00019555257570678288,6.984020560956531e-05,2.8000000000000003
위험/NNG;줄/VV,17,38,55,0.00023745669907252208,0.0005307855626326964,0.4473684210526316
예상/NNG;깨/VV,32,24,56,0.00044697731590121804,0.00033523298692591353,1.3333333333333333
은행/NNG;예금/NNG;금리/NNG;인하/NNG,2,15,17,2.7936082243826127e-05,0.00020952061682869594,0.13333333333333336
투자심리/NNG;긍정적/VAX,19,25,44,0.0002653927813163482,0.0003492010280478266,0.76
인플레이션/NNG;금리/NNG;인상/NNG,51,12,63,0.0007123700972175662,0.00016761649346295676,4.249999999999999
고용/NNG;확대/NNG,7,12,19,9.777628785339144e-05,0.00016761649346295676,0.5833333333333333
국고채/NNG;금리/NNG;약세/NNG,9,17,26,0.00012571237009721757,0.00023745669907252208,0.5294117647058824
fed/NNG;완화/NNG,56,79,135,0.0007822103028271315,0.001103475248631132,0.7088607594936709
고점/NNG;저점/NNG,5,22,27,6.984020560956531e-05,0.00030729690468208736,0.2272727272727273
우려/NNG;fed/NNG;금리/NNG;인하/NNG,4,13,17,5.5872164487652255e-05,0.00018158453458486982,0.3076923076923077
주택시장/NNG;과열/NNG,8,12,20,0.00011174432897530451,0.00016761649346295676,0.6666666666666666
경기/NNG;침체/NNG;위험/NNG,14,9,23,0.00019555257570678288,0.00012571237009721757,1.5555555555555556
코픽스/NNG;떨어/VV,19,8,27,0.0002653927813163482,0.00011174432897530451,2.375
미/NNG;국채/NNG;금리/NNG;오르/VV,12,7,19,0.00016761649346295676,9.777628785339144e-05,1.7142857142857144
은행/NNG;가계/NNG;대출/NNG;증가/NNG,11,15,26,0.00015364845234104368,0.00020952061682869594,0.7333333333333333
성장/NNG;전망/NNG;상향/NNG,8,13,21,0.00011174432897530451,0.00018158453458486982,0.6153846153846154
경제/NNG;타격/NNG,20,29,49,0.00027936082243826125,0.0004050731925354788,0.6896551724137931
금융상품/NNG;확대/NNG,11,5,16,0.00015364845234104368,6.984020560956531e-05,2.1999999999999997
부채/NNG;줄/VV,24,16,40,0.00033523298692591353,0.00022348865795060902,1.5
국고채/NNG;입찰/NNG;부담/NNG,12,8,20,0.00016761649346295676,0.00011174432897530451,1.5
물가/NNG;전망/NNG;하향/NNG,10,28,38,0.00013968041121913062,0.00039110515141356576,0.35714285714285715
투자/NNG;감소/NNG,12,4,16,0.00016761649346295676,5.5872164487652255e-05,3.0
가격/NNG;최저/NNG,10,16,26,0.00013968041121913062,0.00022348865795060902,0.6249999999999999
가계/NNG;부채/NNG;위험/NNG,19,31,50,0.0002653927813163482,0.00043300927477930493,0.6129032258064516
금리/NNG;인상/NNG,6126,4343,10469,0.08556821991283943,0.060663202592468435,1.4105457057333641
물가/NNG;민생안정/NNG,23,4,27,0.00032126494580400047,5.5872164487652255e-05,5.75
국채/NNG;수익률/NNG;마이너스/NNG,7,13,20,9.777628785339144e-05,0.00018158453458486982,0.5384615384615384
단기물/NNG;금리/NNG;상승/NNG,7,10,17,9.777628785339144e-05,0.00013968041121913062,0.7000000000000001
위험/NNG;크/VV,26,14,40,0.00036316906916973964,0.00019555257570678288,1.8571428571428572
일자리/NNG;늘/VV,16,27,43,0.00022348865795060902,0.0003771371102916527,0.5925925925925927
자산/NNG;가격/NNG;오르/VV,6,11,17,8.380824673147838e-05,0.00015364845234104368,0.5454545454545455
외화/NNG;유동성/NNG;확보/NNG,6,22,28,8.380824673147838e-05,0.00030729690468208736,0.27272727272727276
인플레이션/NNG;둔화/NNG,35,17,52,0.0004888814392669572,0.00023745669907252208,2.0588235294117645
전망/NNG;불확실/NNG,11,6,17,0.00015364845234104368,8.380824673147838e-05,1.833333333333333
경기/NNG;회복/NNG;기대/NNG;크/VV,18,8,26,0.00025142474019443513,0.00011174432897530451,2.25
